-13.07	-20.34	-15.87
-11.15	-19.17	-13.77
-7.51	-16.22	-9.65
-8.16	-15.51	-13.03
-11.57	-17.87	-14.42
-9.48	-17.59	-14.24
-5.43	-16.49	-8.86
-2.1	-7.48	-3.32
0.37	-2.94	-0.83
-0.28	-3.52	-1.86
0.12	-2.03	-1.22
-0.28	-1.83	-1.19
-1.01	-4	-2.83
-1.42	-5.88	-3.47
-3.08	-7.44	-5.61
-4.68	-7.78	-6.53
-4.36	-7.52	-5.72
-4.85	-9.41	-7.15
-4.87	-9.85	-7.56
-5.1	-10.2	-7.12
-4.84	-9.04	-6.7
-2.78	-7.58	-4.27
1.58	-4.48	0.19
2.23	-3.31	-2.33
-0.83	-6.07	-4.36
-1.7	-7.5	-3.32
-0.69	-3.89	-1.99
-0.42	-2.37	-1.38
0.26	-2.52	-0.92
1.56	-1.47	0.44
0.48	-1.79	-0.65
0.42	-1.79	-0.64
3.69	-1.83	0.33
-0.16	-4.43	-2.69
-0.03	-3.55	-1.7
1.41	-2.68	-1.05
0.42	-7.73	-4.73
0.27	-8.87	-2.51
2.01	-2.77	-1.21
-1.21	-9.09	-4.62
-0.85	-7.94	-4.11
0.43	-4.79	-1.74
2.26	-2.54	0.79
3.65	1.06	2.44
4.54	0.29	1.96
0.83	-6.61	-5.06
-3.88	-8.92	-6.45
-5.29	-8.85	-7.65
-2.67	-7.75	-3.89
0.42	-3.66	-1.35
1.49	-3.16	-1.46
1.62	-6.27	-3.16
0.73	-7.94	-3.49
-0.77	-4.51	-2.37
0.61	-4.96	-2.93
0.28	-7.08	-4.39
1.33	-10.43	-3.74
3.31	-7.55	-2.15
3.11	-6.8	-2.36
3.57	-4.04	0.08
3.69	-2.03	1.73
5.01	2.13	4.16
6.53	0.92	3.28
5.52	-1.74	1.27
6.61	-0.49	2.96
6.11	1.67	3.99
4.28	-0.61	0.95
4.34	-0.46	2.71
3.6	-3.3	-1.66
4.62	-4.02	2.41
7.59	3.19	5.09
6.03	2.52	4.05
